Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year,Link
Mario Elie,33,HOU,1.0,1.0,115,0.009,78,34.4,11.7,3.0,4.0,1.2,0.2,.497,.420,.896,8.9,.159,1997,/players/e/eliema01.html
Rick Fox,27,BOS,1.0,1.0,115,0.009,76,34.9,15.4,5.2,3.8,2.2,0.5,.456,.363,.787,5.2,.094,1997,/players/f/foxri01.html
Horace Grant,31,ORL,1.0,1.0,115,0.009,67,37.3,12.6,9.0,2.4,1.5,1.0,.515,.167,.715,7.7,.148,1997,/players/g/grantho01.html
Shawn Kemp,27,SEA,1.0,1.0,115,0.009,81,34.0,18.7,10.0,1.9,1.5,1.0,.510,.364,.742,10.0,.174,1997,/players/k/kempsh01.html
Dikembe Mutombo,31,ATL,39.0,39.0,116,0.336,82,35.6,13.4,11.4,1.0,0.4,3.4,.537,,.670,10.8,.177,1998,/players/m/mutomdi01.html
Gary Payton,29,SEA,37.0,37.0,116,0.319,82,38.4,19.2,4.6,8.3,2.3,0.2,.453,.338,.744,12.5,.190,1998,/players/p/paytoga01.html
David Robinson,32,SAS,10.0,10.0,116,0.086,73,33.7,21.6,10.6,2.7,0.9,2.6,.511,.250,.735,13.8,.269,1998,/players/r/robinda01.html
Michael Jordan,34,CHI,6.0,6.0,116,0.052,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238,1998,/players/j/jordami01.html
Mookie Blaylock,30,ATL,4.0,4.0,116,0.034,70,38.6,13.2,4.9,6.7,2.6,0.3,.392,.269,.709,5.6,.099,1998,/players/b/blaylmo01.html
Tim Duncan,21,SAS,4.0,4.0,116,0.034,82,39.1,21.1,11.9,2.7,0.7,2.5,.549,.000,.662,12.8,.192,1998,/players/d/duncati01.html
Bo Outlaw,26,ORL,4.0,4.0,116,0.034,82,36.0,9.5,7.8,2.6,1.3,2.2,.554,.250,.575,7.6,.124,1998,/players/o/outlabo01.html
Dennis Rodman,36,CHI,4.0,4.0,116,0.034,80,35.7,4.7,15.0,2.9,0.6,0.2,.431,.174,.550,7.8,.131,1998,/players/r/rodmade01.html
Anthony Mason,31,CHH,2.0,2.0,116,0.017,81,38.9,12.8,10.2,4.2,0.8,0.2,.509,.000,.649,9.3,.141,1998,/players/m/masonan01.html
Scottie Pippen,32,CHI,2.0,2.0,116,0.017,44,37.5,19.1,5.2,5.8,1.8,1.0,.447,.318,.777,6.6,.193,1998,/players/p/pippesc01.html
Kevin Garnett,21,MIN,1.0,1.0,116,0.009,82,39.3,18.5,9.6,4.2,1.7,1.8,.491,.188,.738,9.6,.143,1998,/players/g/garneke01.html
Kendall Gill,29,NJN,1.0,1.0,116,0.009,81,33.7,13.4,4.8,2.5,1.9,0.8,.429,.257,.688,5.9,.104,1998,/players/g/gillke01.html
Horace Grant,32,ORL,1.0,1.0,116,0.009,76,36.9,12.1,8.1,2.3,1.1,1.0,.459,.000,.678,7.1,.122,1998,/players/g/grantho01.html
Brevin Knight,22,CLE,1.0,1.0,116,0.009,80,31.0,9.0,3.2,8.2,2.5,0.2,.441,.000,.801,8.4,.163,1998,/players/k/knighbr01.html
Alonzo Mourning,28,MIA,89.0,89.0,118,0.754,46,38.1,20.1,11.0,1.6,0.7,3.9,.511,.000,.652,7.9,.216,1999,/players/m/mournal01.html
Dikembe Mutombo,32,ATL,10.0,10.0,118,0.085,50,36.6,10.8,12.2,1.1,0.3,2.9,.512,,.684,7.9,.206,1999,/players/m/mutomdi01.html
Gary Payton,30,SEA,6.0,6.0,118,0.051,50,40.2,21.7,4.9,8.7,2.2,0.2,.434,.295,.721,7.2,.172,1999,/players/p/paytoga01.html
David Robinson,33,SAS,3.0,3.0,118,0.025,49,31.7,15.8,10.0,2.1,1.4,2.4,.509,.000,.658,8.4,.261,1999,/players/r/robinda01.html
Tim Duncan,22,SAS,2.0,2.0,118,0.017,50,39.3,21.7,11.4,2.4,0.9,2.5,.495,.143,.690,8.7,.213,1999,/players/d/duncati01.html
Theo Ratliff,25,PHI,2.0,2.0,118,0.017,50,32.5,11.2,8.1,0.6,0.9,3.0,.470,,.725,5.4,.159,1999,/players/r/ratlith01.html
Michael Curry,30,MIL,1.0,1.0,118,0.008,50,22.9,4.9,2.2,1.6,0.8,0.1,.437,.067,.797,1.7,.070,1999,/players/c/currymi01.html
Kevin Garnett,22,MIN,1.0,1.0,118,0.008,47,37.9,20.8,10.4,4.3,1.7,1.8,.460,.286,.704,5.4,.146,1999,/players/g/garneke01.html
Eddie Jones,27,TOT,1.0,1.0,118,0.008,50,37.6,15.6,3.9,3.7,2.5,1.2,.437,.338,.782,6.0,.153,1999,/players/j/jonesed02.html
Hakeem Olajuwon,36,HOU,1.0,1.0,118,0.008,50,35.7,18.9,9.6,1.8,1.6,2.5,.514,.308,.717,6.5,.175,1999,/players/o/olajuha01.html
Scottie Pippen,33,HOU,1.0,1.0,118,0.008,50,40.2,14.5,6.5,5.9,2.0,0.7,.432,.340,.721,4.9,.116,1999,/players/p/pippesc01.html
Clifford Robinson,32,PHO,1.0,1.0,118,0.008,50,34.8,16.4,4.5,2.6,1.5,1.2,.475,.417,.697,5.3,.146,1999,/players/r/robincl02.html
Alonzo Mourning,29,MIA,62.0,62.0,121,0.512,79,34.8,21.7,9.5,1.6,0.5,3.7,.551,.000,.711,12.9,.226,2000,/players/m/mournal01.html
Shaquille O'Neal,27,LAL,21.0,21.0,121,0.174,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283,2000,/players/o/onealsh01.html
Eddie Jones,28,CHH,11.0,11.0,121,0.091,72,39.0,20.1,4.8,4.2,2.7,0.7,.427,.375,.864,10.1,.172,2000,/players/j/jonesed02.html
Dikembe Mutombo,33,ATL,11.0,11.0,121,0.091,82,36.4,11.5,14.1,1.3,0.3,3.3,.562,,.708,9.9,.160,2000,/players/m/mutomdi01.html
Kobe Bryant,21,LAL,4.0,4.0,121,0.033,66,38.2,22.5,6.3,4.9,1.6,0.9,.468,.319,.821,10.6,.202,2000,/players/b/bryanko01.html
Gary Payton,31,SEA,4.0,4.0,121,0.033,82,41.8,24.2,6.5,8.9,1.9,0.2,.448,.340,.735,13.9,.195,2000,/players/p/paytoga01.html
Kevin Garnett,23,MIN,2.0,2.0,121,0.017,81,40.0,22.9,11.8,5.0,1.5,1.6,.497,.370,.765,11.6,.172,2000,/players/g/garneke01.html
Kendall Gill,31,NJN,1.0,1.0,121,0.008,76,31.0,13.1,3.7,2.8,1.8,0.5,.414,.256,.710,3.7,.076,2000,/players/g/gillke01.html
Jason Kidd,26,PHO,1.0,1.0,121,0.008,67,39.0,14.3,7.2,10.1,2.0,0.4,.409,.337,.829,8.5,.156,2000,/players/k/kiddja01.html
Anthony Mason,33,CHH,1.0,1.0,121,0.008,82,38.2,11.6,8.5,4.5,0.9,0.4,.480,.000,.746,8.9,.136,2000,/players/m/masonan01.html
Bo Outlaw,28,ORL,1.0,1.0,121,0.008,82,28.4,6.0,6.4,3.0,1.4,1.8,.602,.000,.506,6.8,.140,2000,/players/o/outlabo01.html
Scottie Pippen,34,POR,1.0,1.0,121,0.008,82,33.5,12.5,6.3,5.0,1.4,0.5,.451,.327,.717,7.8,.137,2000,/players/p/pippesc01.html
Clifford Robinson,33,PHO,1.0,1.0,121,0.008,80,35.5,18.5,4.5,2.8,1.1,0.8,.464,.370,.782,9.6,.162,2000,/players/r/robincl02.html
Dikembe Mutombo,34,TOT,48.0,48.0,123,0.390,75,34.5,10.0,13.5,1.0,0.4,2.7,.484,,.725,8.1,.151,2001,/players/m/mutomdi01.html
Kevin Garnett,24,MIN,26.0,26.0,123,0.211,81,39.5,22.0,11.4,5.0,1.4,1.8,.477,.288,.764,11.8,.176,2001,/players/g/garneke01.html
Tim Duncan,24,SAS,14.0,14.0,123,0.114,82,38.7,22.2,12.2,3.0,0.9,2.3,.499,.259,.618,13.2,.200,2001,/players/d/duncati01.html
Doug Christie,30,SAC,9.0,9.0,123,0.073,81,36.3,12.3,4.4,3.6,2.3,0.6,.395,.376,.897,8.7,.141,2001,/players/c/chrisdo01.html
David Robinson,35,SAS,6.0,6.0,123,0.049,80,29.6,14.4,8.6,1.5,1.0,2.5,.486,.000,.747,12.1,.246,2001,/players/r/robinda01.html
Ben Wallace,26,DET,6.0,6.0,123,0.049,80,34.5,6.4,13.2,1.5,1.3,2.3,.490,.250,.336,7.0,.121,2001,/players/w/wallabe01.html
Theo Ratliff,27,PHI,4.0,4.0,123,0.033,50,36.0,12.4,8.3,1.2,0.6,3.7,.499,,.760,5.2,.138,2001,/players/r/ratlith01.html
Bruce Bowen,29,MIA,2.0,2.0,123,0.016,82,32.7,7.6,3.0,1.6,1.0,0.6,.363,.336,.609,4.2,.075,2001,/players/b/bowenbr01.html
Anthony Mason,34,MIA,2.0,2.0,123,0.016,80,40.7,16.1,9.6,3.1,1.0,0.3,.482,,.781,11.6,.171,2001,/players/m/masonan01.html
Shaquille O'Neal,28,LAL,2.0,2.0,123,0.016,74,39.5,28.7,12.7,3.7,0.6,2.8,.572,.000,.513,14.9,.245,2001,/players/o/onealsh01.html
Kobe Bryant,22,LAL,1.0,1.0,123,0.008,68,40.9,28.5,5.9,5.0,1.7,0.6,.464,.305,.853,11.3,.196,2001,/players/b/bryanko01.html
Allen Iverson,25,PHI,1.0,1.0,123,0.008,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190,2001,/players/i/iversal01.html
Jason Kidd,27,PHO,1.0,1.0,123,0.008,77,39.8,16.9,6.4,9.8,2.2,0.3,.411,.297,.814,9.6,.150,2001,/players/k/kiddja01.html
Shawn Marion,22,PHO,1.0,1.0,123,0.008,79,36.2,17.3,10.7,2.0,1.7,1.4,.480,.256,.810,11.7,.196,2001,/players/m/mariosh01.html
Ben Wallace,27,DET,116.0,116.0,120,0.967,80,36.5,7.6,13.0,1.4,1.7,3.5,.531,.000,.423,11.6,.190,2002,/players/w/wallabe01.html
Kevin Garnett,25,MIN,2.0,2.0,120,0.017,81,39.2,21.2,12.1,5.2,1.2,1.6,.470,.319,.801,12.8,.194,2002,/players/g/garneke01.html
Kobe Bryant,23,LAL,1.0,1.0,120,0.008,80,38.3,25.2,5.5,5.5,1.5,0.4,.469,.250,.829,12.7,.199,2002,/players/b/bryanko01.html
Dikembe Mutombo,35,PHI,1.0,1.0,120,0.008,80,36.3,11.5,10.8,1.0,0.4,2.4,.501,,.764,9.6,.158,2002,/players/m/mutomdi01.html
Ben Wallace,28,DET,100.0,531.0,585,0.908,73,39.4,6.9,15.4,1.6,1.4,3.2,.481,.167,.450,10.6,.176,2003,/players/w/wallabe01.html
Metta World Peace,23,IND,2.0,122.0,585,0.209,69,33.6,15.5,5.2,2.9,2.3,0.7,.428,.336,.736,7.2,.150,2003,/players/a/artesro01.html
Kevin Garnett,26,MIN,8.0,121.0,585,0.207,82,40.5,23.0,13.4,6.0,1.4,1.6,.502,.282,.751,15.6,.225,2003,/players/g/garneke01.html
Tim Duncan,26,SAS,2.0,90.0,585,0.154,81,39.3,23.3,12.9,3.9,0.7,2.9,.513,.273,.710,16.5,.248,2003,/players/d/duncati01.html
Doug Christie,32,SAC,5.0,85.0,585,0.145,80,33.9,9.4,4.3,4.7,2.3,0.5,.479,.395,.810,8.9,.157,2003,/players/c/chrisdo01.html
Allen Iverson,27,PHI,0.0,29.0,585,0.050,82,42.5,27.6,4.2,5.5,2.7,0.2,.414,.277,.774,9.2,.127,2003,/players/i/iversal01.html
Bruce Bowen,31,SAS,0.0,20.0,585,0.034,82,31.3,7.1,2.9,1.4,0.8,0.5,.466,.441,.404,5.1,.096,2003,/players/b/bowenbr01.html
Kobe Bryant,24,LAL,0.0,16.0,585,0.027,82,41.5,30.0,6.9,5.9,2.2,0.8,.451,.383,.843,14.9,.210,2003,/players/b/bryanko01.html
Theo Ratliff,29,ATL,0.0,15.0,585,0.026,81,31.1,8.7,7.5,0.9,0.7,3.2,.464,,.720,4.0,.077,2003,/players/r/ratlith01.html
Eric Snow,29,PHI,0.0,6.0,585,0.010,82,37.9,12.9,3.7,6.6,1.6,0.1,.452,.219,.858,8.4,.130,2003,/players/s/snower01.html
Gary Payton,34,TOT,0.0,5.0,585,0.009,80,40.1,20.4,4.2,8.3,1.7,0.3,.454,.297,.710,9.1,.136,2003,/players/p/paytoga01.html
Kenyon Martin,25,NJN,0.0,4.0,585,0.007,77,34.1,16.7,8.3,2.4,1.3,0.9,.470,.209,.653,7.1,.129,2003,/players/m/martike01.html
Adonal Foyle,27,GSW,0.0,3.0,585,0.005,82,21.8,5.4,6.0,0.5,0.5,2.5,.536,.000,.673,4.0,.106,2003,/players/f/foylead01.html
Shawn Marion,24,PHO,0.0,3.0,585,0.005,81,41.6,21.2,9.5,2.4,2.3,1.2,.452,.387,.851,13.0,.186,2003,/players/m/mariosh01.html
Shaquille O'Neal,30,LAL,0.0,3.0,585,0.005,67,37.8,27.5,11.1,3.1,0.6,2.4,.574,,.622,13.2,.250,2003,/players/o/onealsh01.html
Metta World Peace,24,IND,80.0,476.0,605,0.787,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,2004,/players/a/artesro01.html
Ben Wallace,29,DET,26.0,325.0,605,0.537,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160,2004,/players/w/wallabe01.html
Theo Ratliff,30,TOT,8.0,90.0,605,0.149,85,31.3,7.9,7.2,0.8,0.6,3.6,.485,,.645,5.2,.094,2004,/players/r/ratlith01.html
Bruce Bowen,32,SAS,4.0,76.0,605,0.126,82,32.0,6.9,3.1,1.4,1.0,0.4,.420,.363,.579,5.4,.098,2004,/players/b/bowenbr01.html
Andrei Kirilenko,22,UTA,2.0,67.0,605,0.111,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,2004,/players/k/kirilan01.html
Kevin Garnett,27,MIN,0.0,36.0,605,0.060,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272,2004,/players/g/garneke01.html
Tim Duncan,27,SAS,0.0,8.0,605,0.013,69,36.6,22.3,12.4,3.1,0.9,2.7,.501,.167,.599,13.1,.249,2004,/players/d/duncati01.html
Clifford Robinson,37,GSW,1.0,5.0,605,0.008,82,34.7,11.8,3.9,3.3,0.8,0.9,.387,.357,.711,2.0,.033,2004,/players/r/robincl02.html
Kenyon Martin,26,NJN,0.0,2.0,605,0.003,65,34.6,16.7,9.5,2.5,1.5,1.3,.488,.280,.684,6.7,.142,2004,/players/m/martike01.html
Kobe Bryant,25,LAL,0.0,1.0,605,0.002,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210,2004,/players/b/bryanko01.html
Shaquille O'Neal,31,LAL,0.0,1.0,605,0.002,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192,2004,/players/o/onealsh01.html
James Posey,27,MEM,0.0,1.0,605,0.002,82,29.9,13.7,4.9,1.5,1.7,0.5,.478,.386,.830,10.0,.195,2004,/players/p/poseyja01.html
Earl Watson,24,MEM,0.0,1.0,605,0.002,81,20.6,5.7,2.2,5.0,1.1,0.2,.371,.245,.652,1.8,.052,2004,/players/w/watsoea01.html
Ben Wallace,30,DET,45.0,339.0,625,0.542,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153,2005,/players/w/wallabe01.html
Bruce Bowen,33,SAS,33.0,247.0,625,0.395,82,32.0,8.2,3.5,1.5,0.7,0.5,.420,.403,.634,6.1,.111,2005,/players/b/bowenbr01.html
Marcus Camby,30,DEN,19.0,168.0,625,0.269,66,30.5,10.3,10.0,2.3,0.9,3.0,.465,.000,.723,5.8,.138,2005,/players/c/cambyma01.html
Tim Duncan,28,SAS,6.0,81.0,625,0.130,66,33.4,20.3,11.1,2.7,0.7,2.6,.496,.333,.670,11.2,.245,2005,/players/d/duncati01.html
Shawn Marion,26,PHO,5.0,57.0,625,0.091,81,38.8,19.4,11.3,1.9,2.0,1.5,.476,.334,.833,12.5,.191,2005,/players/m/mariosh01.html
Larry Hughes,26,WAS,3.0,53.0,625,0.085,61,38.7,22.0,6.3,4.7,2.9,0.3,.430,.282,.777,7.7,.157,2005,/players/h/hughela01.html
Tayshaun Prince,24,DET,6.0,46.0,625,0.074,82,37.1,14.7,5.3,3.0,0.7,0.9,.487,.341,.807,9.4,.149,2005,/players/p/princta01.html
Shaquille O'Neal,32,MIA,3.0,32.0,625,0.051,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,,.461,11.0,.211,2005,/players/o/onealsh01.html
Kevin Garnett,28,MIN,4.0,30.0,625,0.048,82,38.1,22.2,13.5,5.7,1.5,1.4,.502,.240,.811,16.1,.248,2005,/players/g/garneke01.html
Andrei Kirilenko,23,UTA,1.0,25.0,625,0.040,41,32.9,15.6,6.2,3.2,1.6,3.3,.493,.299,.784,5.5,.197,2005,/players/k/kirilan01.html
Allen Iverson,29,PHI,0.0,10.0,625,0.016,75,42.3,30.7,4.0,7.9,2.4,0.1,.424,.308,.835,9.0,.136,2005,/players/i/iversal01.html
Kirk Hinrich,24,CHI,0.0,6.0,625,0.010,77,36.4,15.7,3.9,6.4,1.6,0.3,.397,.355,.792,7.2,.124,2005,/players/h/hinriki01.html
Joel Przybilla,25,POR,0.0,6.0,625,0.010,76,24.4,6.4,7.7,1.0,0.3,2.1,.598,,.517,4.7,.121,2005,/players/p/przybjo01.html
Trenton Hassell,25,MIN,0.0,4.0,625,0.006,82,25.2,6.6,2.7,1.6,0.4,0.4,.474,.091,.789,2.7,.063,2005,/players/h/hassetr01.html
Andre Iguodala,21,PHI,0.0,4.0,625,0.006,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,.331,.743,6.6,.118,2005,/players/i/iguodan01.html
Rasheed Wallace,30,DET,0.0,3.0,625,0.005,79,34.0,14.5,8.2,1.8,0.8,1.5,.440,.318,.697,7.1,.127,2005,/players/w/wallara01.html
David Wesley,34,TOT,0.0,3.0,625,0.005,80,34.7,11.9,2.9,3.3,1.2,0.1,.398,.375,.857,5.2,.089,2005,/players/w/wesleda01.html
Tyson Chandler,22,CHI,0.0,2.0,625,0.003,80,27.4,8.0,9.7,0.8,0.9,1.8,.494,.000,.673,8.3,.183,2005,/players/c/chandty01.html
Manu Ginóbili,27,SAS,0.0,2.0,625,0.003,74,29.6,16.0,4.4,3.9,1.6,0.4,.471,.376,.803,11.0,.240,2005,/players/g/ginobma01.html
Josh Howard,24,DAL,0.0,2.0,625,0.003,76,32.2,12.6,6.4,1.4,1.5,0.6,.475,.296,.733,6.4,.126,2005,/players/h/howarjo01.html
Shane Battier,26,MEM,0.0,1.0,625,0.002,80,31.5,9.9,5.2,1.6,1.1,1.0,.442,.395,.789,7.8,.149,2005,/players/b/battish01.html
Dwight Howard,19,ORL,0.0,1.0,625,0.002,82,32.6,12.0,10.0,0.9,0.9,1.7,.520,.000,.671,7.3,.131,2005,/players/h/howardw01.html
Andrés Nocioni,25,CHI,0.0,1.0,625,0.002,81,23.4,8.4,4.8,1.5,0.5,0.4,.401,.258,.766,2.5,.062,2005,/players/n/nocioan01.html
Emeka Okafor,22,CHA,0.0,1.0,625,0.002,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074,2005,/players/o/okafoem01.html
Dwyane Wade,23,MIA,0.0,1.0,625,0.002,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177,2005,/players/w/wadedw01.html
Ben Wallace,31,DET,58.0,420.0,620,0.677,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,2006,/players/w/wallabe01.html
Bruce Bowen,34,SAS,38.0,308.0,620,0.497,82,33.6,7.5,3.9,1.5,1.0,0.4,.433,.424,.607,6.2,.108,2006,/players/b/bowenbr01.html
Andrei Kirilenko,24,UTA,12.0,121.0,620,0.195,69,37.7,15.3,8.0,4.3,1.5,3.2,.460,.308,.699,7.9,.145,2006,/players/k/kirilan01.html
Metta World Peace,26,TOT,6.0,65.0,620,0.105,56,39.4,17.6,5.1,3.6,2.2,0.7,.404,.308,.675,3.7,.081,2006,/players/a/artesro01.html
Marcus Camby,31,DEN,3.0,55.0,620,0.089,56,33.2,12.8,11.9,2.1,1.4,3.3,.465,.091,.712,5.5,.141,2006,/players/c/cambyma01.html
Tim Duncan,29,SAS,3.0,42.0,620,0.068,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187,2006,/players/d/duncati01.html
Shawn Marion,27,PHO,0.0,33.0,620,0.053,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214,2006,/players/m/mariosh01.html
Alonzo Mourning,35,MIA,4.0,29.0,620,0.047,65,20.0,7.8,5.5,0.2,0.2,2.7,.597,.000,.594,4.8,.176,2006,/players/m/mournal01.html
Gerald Wallace,23,CHA,0.0,27.0,620,0.044,55,34.5,15.2,7.5,1.7,2.5,2.1,.538,.280,.614,6.4,.163,2006,/players/w/wallage01.html
Shane Battier,27,MEM,0.0,3.0,620,0.005,81,35.0,10.1,5.3,1.7,1.1,1.4,.488,.394,.707,9.1,.153,2006,/players/b/battish01.html
Elton Brand,26,LAC,0.0,3.0,620,0.005,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229,2006,/players/b/brandel01.html
Andre Iguodala,22,PHI,0.0,2.0,620,0.003,82,37.6,12.3,5.9,3.1,1.6,0.3,.500,.354,.754,7.5,.116,2006,/players/i/iguodan01.html
Raja Bell,29,PHO,0.0,1.0,620,0.002,79,37.5,14.7,3.2,2.6,1.0,0.3,.457,.442,.788,6.8,.110,2006,/players/b/bellra01.html
P.J. Brown,36,NOK,0.0,1.0,620,0.002,75,31.7,9.0,7.3,1.2,0.6,0.7,.461,,.827,4.4,.088,2006,/players/b/brownpj01.html
Kevin Garnett,29,MIN,0.0,1.0,620,0.002,76,38.9,21.8,12.7,4.1,1.4,1.4,.526,.267,.810,14.9,.242,2006,/players/g/garneke01.html
Eddie Jones,34,MEM,0.0,1.0,620,0.002,75,32.5,11.8,3.7,2.4,1.7,0.4,.404,.356,.781,7.2,.141,2006,/players/j/jonesed02.html
Andrés Nocioni,26,CHI,0.0,1.0,620,0.002,82,27.3,13.0,6.1,1.4,0.5,0.6,.461,.391,.843,6.7,.144,2006,/players/n/nocioan01.html
James Posey,29,MIA,0.0,1.0,620,0.002,67,28.6,7.2,4.8,1.3,0.8,0.3,.403,.403,.787,4.2,.104,2006,/players/p/poseyja01.html
Tayshaun Prince,25,DET,0.0,1.0,620,0.002,82,35.3,14.1,4.2,2.3,0.8,0.5,.455,.350,.765,7.0,.115,2006,/players/p/princta01.html
Rasheed Wallace,31,DET,0.0,1.0,620,0.002,80,34.8,15.1,6.8,2.3,1.0,1.6,.430,.357,.743,8.9,.154,2006,/players/w/wallara01.html
Marcus Camby,32,DEN,70.0,431.0,650,0.663,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,2007,/players/c/cambyma01.html
Bruce Bowen,35,SAS,22.0,206.0,650,0.317,82,30.0,6.2,2.7,1.4,0.8,0.3,.405,.384,.589,4.1,.079,2007,/players/b/bowenbr01.html
Tim Duncan,30,SAS,15.0,158.0,650,0.243,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230,2007,/players/d/duncati01.html
Shawn Marion,28,PHO,7.0,93.0,650,0.143,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,.317,.810,12.0,.191,2007,/players/m/mariosh01.html
Shane Battier,28,HOU,7.0,86.0,650,0.132,82,36.4,10.1,4.1,2.1,1.0,0.7,.446,.421,.779,9.0,.144,2007,/players/b/battish01.html
